########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

81024	4.37131e-05
81152	4.28068e-05
81280	4.18507e-05
81408	3.93868e-05
81536	3.90353e-05
81664	4.0218e-05
81792	3.7283e-05
81920	3.73102e-05
82048	3.39739e-05
82176	3.22372e-05
82304	3.39088e-05
82432	3.32192e-05
82560	2.9332e-05
82688	2.95517e-05
82816	2.92825e-05
82944	2.92659e-05
83072	2.84357e-05
83200	2.52902e-05
83328	2.66385e-05
83456	2.50276e-05
83584	2.27186e-05
83712	2.31679e-05
83840	2.17729e-05
83968	2.06079e-05
84096	2.06699e-05
84224	1.9044e-05
84352	1.92098e-05
84480	1.75854e-05
84608	1.71661e-05
84736	1.72397e-05
84864	1.61882e-05
84992	1.61007e-05
85120	1.64169e-05
85248	1.39145e-05
85376	1.42987e-05
85504	1.33581e-05
85632	1.23877e-05
85760	1.25498e-05
85888	1.16499e-05
86016	1.071e-05
86144	1.08895e-05
86272	9.93892e-06
86400	9.92414e-06
86528	9.53946e-06
86656	9.88574e-06
86784	9.58125e-06
86912	1.02555e-05
87040	0.000713387
87168	0.63483
87296	0.0184181
87424	0.00241429
87552	0.000431386
87680	0.000256845
87808	0.000319988
87936	0.000335649
88064	0.000324172
88192	0.000303316
88320	0.000210877
88448	0.00016263
88576	0.000189077
88704	0.000194552
88832	8.91528e-05
88960	0.000120836
89088	9.4634e-05
89216	0.000129893
89344	8.32876e-05
89472	0.000140031
89600	0.000115167
89728	5.94745e-05
89856	5.56245e-05
89984	6.17974e-05
90112	6.65822e-05
90240	4.84285e-05
90368	6.86371e-05
90496	5.80625e-05
90624	4.53077e-05
90752	4.68241e-05
90880	4.27234e-05
91008	4.35553e-05
91136	3.44424e-05
91264	4.02322e-05
91392	5.69379e-05
91520	3.5022e-05
91648	3.629e-05
91776	4.13359e-05
91904	4.93583e-05
92032	3.60567e-05
92160	3.35733e-05
92288	3.49825e-05
92416	3.41158e-05
92544	2.92155e-05
92672	3.97194e-05
92800	2.68122e-05
92928	3.1555e-05
93056	4.31844e-05
93184	2.74528e-05
93312	2.32518e-05
93440	2.66598e-05
93568	3.29324e-05
93696	2.27183e-05
93824	2.48517e-05
93952	2.13511e-05
94080	2.12628e-05
94208	2.2753e-05
94336	2.18538e-05
94464	1.93389e-05
94592	2.65983e-05
94720	1.61437e-05
94848	2.75991e-05
94976	1.70424e-05
95104	2.20345e-05
95232	1.8358e-05
95360	2.85854e-05
95488	2.66e-05
95616	1.74808e-05
95744	1.69396e-05
95872	1.8786e-05
96000	1.68133e-05
96128	1.71765e-05
96256	1.49071e-05
96384	1.61506e-05
96512	1.50155e-05
96640	1.45371e-05
96768	2.19384e-05
96896	1.83844e-05
97024	1.41379e-05
97152	1.39547e-05
97280	1.63849e-05
97408	1.34353e-05
97536	1.42598e-05
97664	1.80465e-05
97792	1.26564e-05
97920	1.48482e-05
98048	1.32032e-05
98176	1.29823e-05
98304	1.11563e-05
98432	1.42775e-05
98560	1.27581e-05
98688	1.63763e-05
98816	1.16562e-05
98944	1.08953e-05
99072	1.2292e-05
99200	1.34318e-05
99328	1.36756e-05
99456	1.00712e-05
99584	1.06146e-05
99712	1.38014e-05
99840	1.02171e-05
99968	1.0563e-05
100096	1.01735e-05
100224	1.10962e-05
100352	9.55673e-06
100480	1.00149e-05
100608	1.02863e-05
100736	9.84635e-06
100864	9.3758e-06
100992	9.65541e-06
101120	9.58151e-06
101248	9.12806e-06
101376	8.95188e-06
101504	8.52016e-06
101632	8.35438e-06
101760	8.06173e-06
101888	7.79639e-06
102016	9.26192e-06
102144	8.13581e-06
102272	8.22788e-06
102400	7.89913e-06
102528	8.30178e-06
102656	6.70203e-06
102784	7.36757e-06
102912	7.08991e-06
103040	6.91839e-06
103168	6.9899e-06
103296	6.39735e-06
103424	6.17714e-06
103552	5.98837e-06
103680	6.71392e-06
103808	5.97271e-06
103936	5.56756e-06
104064	5.75224e-06
104192	5.70461e-06
104320	5.32529e-06
104448	5.40338e-06
104576	5.42071e-06
104704	5.16604e-06
104832	5.18181e-06
104960	5.03057e-06
105088	5.00009e-06
105216	5.11774e-06
105344	4.76887e-06
105472	5.68914e-06
105600	4.39624e-06
105728	3.97015e-06
105856	3.9232e-06
105984	4.00207e-06
106112	4.24993e-06
106240	3.48151e-06
106368	3.61525e-06
106496	3.40069e-06
106624	3.38767e-06
106752	3.01463e-06
106880	3.25361e-06
107008	3.87475e-06
107136	0.00653364
107264	0.80236
107392	1.62846
107520	0.0946313
107648	0.00892242
107776	0.006411
107904	0.00375186
108032	0.00308449
108160	0.00248062
108288	0.0024869
108416	0.00133438
108544	0.00123812
108672	0.00127864
108800	0.00106366
108928	0.000680592
109056	0.00111713
109184	0.000773461
109312	0.000821476
109440	0.00060495
109568	0.000501642
109696	0.000524656
109824	0.000826329
109952	0.000572173
110080	0.000506776
110208	0.000479922
110336	0.000402346
110464	0.000324821
110592	0.000272765
110720	0.000327908
110848	0.000467854
110976	0.000361117
111104	0.000484849
111232	0.00020242
111360	0.000170408
111488	0.000250024
111616	0.000232686
111744	0.000169076
111872	0.000247825
112000	0.000165431
112128	0.000217661
112256	0.000139214
112384	0.000128649
112512	0.000123841
112640	0.000144597
112768	0.000156863
112896	0.000183445
113024	0.000125862
113152	0.000132535
113280	7.10942e-05
113408	8.87936e-05
113536	6.61274e-05
113664	6.90406e-05
113792	7.45056e-05
113920	6.84065e-05
114048	7.56534e-05
114176	0.000141063
114304	8.61215e-05
114432	4.63993e-05
114560	4.19081e-05
114688	6.82703e-05
114816	6.63105e-05
114944	5.10052e-05
115072	5.33964e-05
115200	4.21003e-05
115328	0.000154534
115456	3.33422e-05
115584	5.07586e-05
115712	3.80908e-05
115840	3.59115e-05
115968	3.26642e-05
116096	3.09881e-05
116224	3.30075e-05
116352	3.09982e-05
116480	4.04837e-05
116608	2.64055e-05
116736	2.77481e-05
116864	2.85578e-05
116992	2.58948e-05
117120	2.88965e-05
117248	2.12362e-05
117376	2.90322e-05
117504	1.88004e-05
117632	3.22855e-05
117760	2.9021e-05
117888	2.35325e-05
118016	3.01389e-05
118144	1.73323e-05
118272	1.98419e-05
118400	1.80648e-05
118528	2.37153e-05
118656	1.92944e-05
118784	1.15746e-05
118912	1.53726e-05
119040	1.85615e-05
119168	1.45221e-05
119296	2.02881e-05
119424	1.36217e-05
119552	1.28548e-05
119680	1.05799e-05
119808	1.62397e-05
119936	1.3463e-05
120064	1.66985e-05
120192	1.3993e-05
120320	9.2234e-06
120448	1.11187e-05
120576	1.0101e-05
120704	8.93866e-06
120832	1.97779e-05
120960	9.96929e-06
121088	9.73615e-06
121216	8.2061e-06
121344	1.52398e-05
121472	8.71376e-06
121600	8.42725e-06
121728	7.38286e-06
121856	6.69813e-06
121984	6.57661e-06
122112	8.05115e-06
122240	6.84018e-06
122368	6.70427e-06
122496	6.99644e-06
122624	6.94974e-06
122752	7.23693e-06
122880	5.77986e-06
123008	7.30033e-06
123136	6.1933e-06
123264	5.77412e-06
123392	6.29127e-06
123520	5.97915e-06
123648	5.14398e-06
123776	5.56323e-06
123904	7.38483e-06
124032	5.03427e-06
124160	4.99695e-06
124288	6.26561e-06
124416	4.4656e-06
