########

	Model: LSTM with ~6500 parameters on

#Task:
 # Copying Task with T=200

########

151296	0.0966721
151424	0.0968224
151552	0.0968662
151680	0.0963709
151808	0.0960646
151936	0.0960748
152064	0.0959929
152192	0.0959134
152320	0.0959428
152448	0.0960246
152576	0.0960131
152704	0.0958871
152832	0.0958387
152960	0.0959108
153088	0.096051
153216	0.0967261
153344	0.100947
153472	0.100893
153600	0.0965464
153728	0.0961896
153856	0.0960743
153984	0.0961624
154112	0.0960681
154240	0.0959477
154368	0.0959625
154496	0.0961164
154624	0.0959034
154752	0.0959443
154880	0.0959415
155008	0.0957824
155136	0.0958544
155264	0.0958116
155392	0.0958929
155520	0.095805
155648	0.0957471
155776	0.0958204
155904	0.095947
156032	0.0965065
156160	0.0985753
156288	0.150006
156416	0.0974284
156544	0.0967859
156672	0.0966481
156800	0.0965468
156928	0.0963596
157056	0.0962975
157184	0.0962006
157312	0.096181
157440	0.0961581
157568	0.0960614
157696	0.0958753
157824	0.0960166
157952	0.0959585
158080	0.0958847
158208	0.0958384
158336	0.0958819
158464	0.0958427
158592	0.0958021
158720	0.0957929
158848	0.095769
158976	0.0958024
159104	0.095696
159232	0.0957245
159360	0.0957076
159488	0.095668
159616	0.0956339
159744	0.095624
159872	0.0956591
160000	0.0956236
160128	0.0955657
160256	0.0956544
160384	0.0956959
160512	0.0956768
160640	0.0957955
160768	0.095747
160896	0.0958923
161024	0.0956905
161152	0.0955701
161280	0.095475
161408	0.095471
161536	0.0955316
161664	0.0954796
161792	0.0953957
161920	0.0954593
162048	0.0953895
162176	0.0956013
162304	0.0960822
162432	0.0965929
162560	0.0962771
162688	0.0954569
162816	0.09539
162944	0.0952785
163072	0.0954705
163200	0.0953805
163328	0.0952844
163456	0.0953811
163584	0.0953191
163712	0.0953161
163840	0.0953208
163968	0.0955121
164096	0.0958129
164224	0.0957532
164352	0.0958638
164480	0.0952637
164608	0.0952715
164736	0.0952799
164864	0.0952384
164992	0.0951347
165120	0.0952429
165248	0.095198
165376	0.0950999
165504	0.095065
165632	0.0952939
165760	0.0952213
165888	0.0954004
166016	0.0955707
166144	0.0961327
166272	0.0952658
166400	0.0954947
166528	0.0952192
166656	0.0955868
166784	0.0954124
166912	0.0952405
167040	0.0952494
167168	0.0951363
167296	0.0951398
167424	0.0951546
167552	0.0951311
167680	0.0950397
167808	0.0950097
167936	0.0951312
168064	0.0950766
168192	0.0950162
168320	0.0951066
168448	0.0950637
168576	0.0952275
168704	0.0965441
168832	0.202832
168960	0.112355
169088	0.0957586
169216	0.0954123
169344	0.0954036
169472	0.095372
169600	0.095384
169728	0.0954317
169856	0.0952475
169984	0.0951979
170112	0.0950993
170240	0.0950634
170368	0.095276
170496	0.0952931
170624	0.095218
170752	0.0951549
170880	0.0951753
171008	0.0951268
171136	0.0950695
171264	0.0950659
171392	0.0950084
171520	0.0950807
171648	0.0951432
171776	0.0950903
171904	0.0950783
172032	0.0950343
172160	0.0950472
172288	0.0951421
172416	0.0950253
172544	0.0949274
172672	0.0950457
172800	0.0949448
172928	0.0949465
173056	0.0949577
173184	0.0950776
173312	0.0949967
173440	0.0949028
173568	0.0950965
173696	0.0949194
173824	0.0949138
173952	0.0949422
174080	0.0949962
174208	0.0950088
174336	0.0948819
174464	0.094918
174592	0.0950399
174720	0.0950543
174848	0.0949194
174976	0.0949229
175104	0.0949957
175232	0.0948751
175360	0.0949141
175488	0.0949978
175616	0.0948927
175744	0.0948235
175872	0.0949005
176000	0.0949155
176128	0.0948814
176256	0.0949111
176384	0.0948822
176512	0.0949671
176640	0.09487
176768	0.0949249
176896	0.09488
177024	0.0948639
177152	0.094953
177280	0.0951919
177408	0.0955148
177536	0.0956945
177664	0.0954274
177792	0.0949031
177920	0.0949053
178048	0.0948938
178176	0.094899
178304	0.0948885
178432	0.09482
178560	0.094856
178688	0.0947814
178816	0.0948567
178944	0.0948324
179072	0.0947289
179200	0.0948176
179328	0.0948547
179456	0.0948102
179584	0.0948206
179712	0.0948006
179840	0.0947873
179968	0.0947823
180096	0.123183
180224	0.594013
180352	0.29293
180480	0.159521
180608	0.256119
180736	0.170833
180864	0.113715
180992	0.101773
181120	0.0992419
181248	0.0978508
181376	0.0977194
181504	0.096722
181632	0.0962843
181760	0.0960686
181888	0.0962236
182016	0.105372
182144	0.354305
182272	0.231312
182400	0.15715
182528	0.396722
182656	0.317622
182784	0.197234
182912	0.0961651
183040	0.0958389
183168	0.0955877
183296	0.0954227
183424	0.0955355
183552	0.0952707
183680	0.0953987
183808	0.0953457
183936	0.0953368
184064	0.0952796
184192	0.0951832
184320	0.09527
184448	0.0953132
184576	0.0953322
184704	0.0954
184832	0.0953839
184960	0.0952883
185088	0.0952007
185216	0.0950615
185344	0.0952849
185472	0.0950154
185600	0.0952548
185728	0.0950182
185856	0.0951086
185984	0.0952
186112	0.0951538
186240	0.0951955
186368	0.0950809
186496	0.0951265
186624	0.0951308
186752	0.0950764
186880	0.0951659
187008	0.0951256
187136	0.0951948
187264	0.095059
187392	0.0950153
187520	0.0950029
187648	0.0951002
187776	0.0950412
187904	0.095102
188032	0.0951454
188160	0.0951659
188288	0.0951237
188416	0.0950477
188544	0.0949937
188672	0.0949525
188800	0.0950235
188928	0.0950284
189056	0.0951301
189184	0.0950216
189312	0.0949804
189440	0.0950248
189568	0.0949441
189696	0.0950483
189824	0.0950576
189952	0.0950148
190080	0.095005
190208	0.095057
190336	0.0951045
190464	0.0949642
190592	0.094983
190720	0.0950021
190848	0.0949839
190976	0.094962
191104	0.0950114
191232	0.0950526
191360	0.0948855
191488	0.0950238
191616	0.0949591
191744	0.0949663
191872	0.09493
192000	0.0949431
192128	0.0949228
192256	0.0948639
192384	0.0949282
192512	0.0948708
192640	0.0949458
192768	0.0949721
192896	0.0949185
193024	0.094853
193152	0.0948388
193280	0.0949428
193408	0.0948997
193536	0.094832
193664	0.0948784
193792	0.0948309
193920	0.094835
194048	0.0949662
194176	0.0948615
194304	0.0948876
194432	0.094922
194560	0.094826
194688	0.0948685
194816	0.0947623
194944	0.0948929
195072	0.0949031
195200	0.0948658
195328	0.0949557
195456	0.0948893
195584	0.094818
195712	0.0948346
195840	0.0948766
195968	0.0947097
196096	0.0947394
196224	0.0948315
196352	0.0948311
196480	0.0948146
196608	0.094845
196736	0.0948285
196864	0.0948839
196992	0.0947428
197120	0.0947498
197248	0.0949288
197376	0.0948623
197504	0.0947868
197632	0.0947462
197760	0.0948321
197888	0.0947693
198016	0.0948101
198144	0.0946885
198272	0.0947516
198400	0.0947155
198528	0.0947368
198656	0.0947348
198784	0.094705
198912	0.0947593
199040	0.0949687
199168	0.0950039
199296	0.103397
199424	0.19317
199552	0.0947804
