########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=20

########

138240	6.98492e-10
138368	9.77888e-10
138496	5.12227e-10
138624	4.19095e-10
138752	2.79397e-10
138880	4.19095e-10
139008	4.42378e-10
139136	6.0536e-10
139264	4.65661e-10
139392	8.3819e-10
139520	6.28643e-10
139648	6.75209e-10
139776	7.91624e-10
139904	6.51926e-10
140032	4.65661e-10
140160	8.38189e-10
140288	2.21189e-09
140416	1.6531e-09
140544	8.3819e-10
140672	4.88944e-10
140800	2.79397e-10
140928	4.65661e-10
141056	1.39698e-10
141184	4.42378e-10
141312	3.25963e-10
141440	1.55996e-09
141568	7.68341e-10
141696	1.60653e-09
141824	2.25845e-09
141952	1.0943e-09
142080	7.45058e-10
142208	1.6531e-09
142336	4.42378e-10
142464	4.65661e-10
142592	6.51926e-10
142720	4.42378e-10
142848	1.39698e-10
142976	4.19095e-10
143104	6.98492e-10
143232	5.07568e-09
143360	6.28643e-10
143488	4.88944e-10
143616	6.0536e-10
143744	6.75209e-10
143872	8.3819e-10
144000	5.3551e-10
144128	2.09548e-10
144256	3.0268e-10
144384	1.16415e-09
144512	2.14204e-09
144640	8.3819e-10
144768	7.91624e-10
144896	3.30617e-09
145024	5.3551e-10
145152	5.28524e-09
145280	3.49246e-10
145408	3.25963e-10
145536	9.54605e-10
145664	6.75208e-10
145792	9.31322e-10
145920	6.05359e-10
146048	4.88944e-10
146176	5.3551e-10
146304	4.65661e-10
146432	6.98492e-10
146560	1.04774e-09
146688	3.95812e-10
146816	7.68341e-10
146944	6.98492e-10
147072	2.32831e-10
147200	3.95812e-10
147328	1.16415e-09
147456	1.86265e-10
147584	3.95812e-10
147712	5.82076e-10
147840	6.98492e-10
147968	3.0268e-10
148096	6.28643e-10
148224	1.39698e-10
148352	1.11759e-09
148480	1.07102e-09
148608	2.79397e-10
148736	9.77888e-10
148864	6.51926e-10
148992	9.77888e-10
149120	2.56114e-10
149248	4.28406e-09
149376	3.72529e-10
149504	5.3551e-10
149632	3.95812e-10
149760	8.84756e-10
149888	4.42378e-10
150016	1.58324e-09
150144	9.31322e-11
150272	4.88944e-10
150400	3.25963e-10
150528	1.39698e-10
150656	4.88944e-10
150784	6.51926e-10
150912	5.12227e-10
151040	1.86265e-10
151168	3.49246e-10
151296	6.0536e-10
151424	2.56114e-10
151552	1.97905e-09
151680	2.00234e-09
151808	3.95812e-10
151936	6.98492e-10
152064	4.42378e-10
152192	6.75209e-10
152320	3.72529e-10
152448	6.28643e-10
152576	1.04774e-09
152704	1.90921e-09
152832	5.58793e-10
152960	6.98492e-10
153088	4.88944e-10
153216	4.19095e-10
153344	3.72529e-10
153472	9.77888e-10
153600	3.95812e-10
153728	8.3819e-10
153856	7.21775e-10
153984	5.58793e-10
154112	1.00117e-09
154240	2.56114e-10
154368	2.8638e-09
154496	5.58793e-10
154624	1.86264e-10
154752	2.09548e-10
154880	1.14087e-09
155008	6.98492e-10
155136	3.0268e-10
155264	3.0268e-10
155392	9.31322e-10
155520	8.61473e-10
155648	2.56114e-10
155776	5.12227e-10
155904	1.35042e-09
156032	1.14087e-09
156160	6.75209e-10
156288	3.49246e-10
156416	1.86265e-10
156544	5.58793e-10
156672	2.32831e-10
156800	2.79397e-10
156928	1.62981e-10
157056	1.234e-09
157184	3.25963e-10
157312	3.25963e-10
157440	1.62981e-10
157568	6.98491e-10
157696	3.49246e-10
157824	9.31323e-11
157952	6.51926e-10
158080	5.82076e-10
158208	2.32831e-10
158336	1.60653e-09
158464	5.58793e-10
158592	5.12227e-10
158720	6.28643e-10
158848	3.25963e-10
158976	2.32831e-10
159104	6.28642e-10
159232	1.39698e-10
159360	3.25963e-10
159488	1.62981e-10
159616	5.3551e-10
159744	5.3551e-10
159872	2.79397e-10
160000	9.31323e-11
160128	1.62981e-10
160256	1.39698e-10
160384	1.86264e-10
160512	1.62981e-10
160640	1.30385e-09
160768	2.56114e-10
160896	1.86265e-10
161024	8.3819e-10
161152	4.40046e-09
161280	1.95577e-09
161408	1.02445e-09
161536	3.25963e-10
161664	4.42378e-10
161792	5.12227e-10
161920	1.16415e-10
162048	9.54605e-10
162176	3.25963e-10
162304	1.39698e-10
162432	1.86264e-10
162560	4.19095e-10
162688	6.05359e-10
162816	1.62981e-10
162944	2.79397e-10
163072	2.79397e-10
163200	1.86265e-10
163328	4.19095e-10
163456	2.79397e-10
163584	3.49246e-10
163712	2.56114e-10
163840	1.39698e-10
163968	1.39698e-10
164096	2.09548e-10
164224	1.16415e-10
164352	4.65661e-11
164480	2.32831e-10
164608	3.72529e-10
164736	1.86264e-10
164864	4.88944e-10
164992	6.05359e-10
165120	5.58793e-10
165248	5.12227e-10
165376	3.72529e-10
165504	4.88944e-10
165632	1.86264e-10
165760	4.42378e-10
165888	2.32831e-10
166016	2.09548e-10
166144	3.25963e-10
166272	1.62981e-10
166400	9.31323e-11
166528	1.86264e-10
166656	4.19095e-10
166784	3.49246e-10
166912	1.28057e-09
167040	8.14907e-10
167168	3.72529e-10
167296	2.56114e-10
167424	4.19095e-10
167552	2.09548e-10
167680	1.18743e-09
167808	1.3737e-09
167936	4.42378e-10
168064	6.51926e-10
168192	4.65661e-10
168320	1.62981e-10
168448	1.39698e-09
168576	4.19094e-09
168704	2.09548e-10
168832	2.09548e-10
168960	1.39698e-10
169088	4.19095e-10
169216	5.58793e-10
169344	2.32831e-11
169472	1.86264e-10
169600	5.12227e-10
169728	3.0268e-10
169856	6.98492e-11
169984	1.86265e-10
