########

	Model: BasicRNN with 8090 parameters on

#Task:
# Copying Task with T=100

########

95616	0.525449
95744	0.233885
95872	0.219359
96000	0.214729
96128	0.212700
96256	0.211048
96384	0.211508
96512	0.211374
96640	0.211318
96768	0.209425
96896	0.209542
97024	0.208331
97152	0.208672
97280	0.208049
97408	0.207814
97536	0.209012
97664	0.208340
97792	0.207383
97920	0.205487
98048	0.206346
98176	0.212293
98304	0.214178
98432	0.207112
98560	0.206987
98688	0.206863
98816	0.205419
98944	0.205395
99072	0.205796
99200	0.206126
99328	0.203824
99456	0.203900
99584	0.203650
99712	0.203929
99840	0.203233
99968	0.202288
100096	0.202586
100224	0.232601
100352	0.650161
100480	0.886756
100608	0.725061
100736	0.644578
100864	0.560119
100992	0.476785
101120	0.390511
101248	0.295252
101376	0.234996
101504	0.221934
101632	0.224681
101760	0.217776
101888	0.214596
102016	0.214062
102144	0.223467
102272	0.212444
102400	0.211864
102528	0.210153
102656	0.207998
102784	0.207387
102912	0.207232
103040	0.207045
103168	0.205441
103296	0.206608
103424	0.205021
103552	0.204429
103680	0.204710
103808	0.205389
103936	0.204862
104064	0.204754
104192	0.203576
104320	0.201892
104448	0.202425
104576	0.202677
104704	0.206380
104832	0.202723
104960	0.202305
105088	0.202526
105216	0.202877
105344	0.201536
105472	0.202302
105600	0.201413
105728	0.201049
105856	0.200639
105984	0.199915
106112	0.201427
106240	0.201128
106368	0.201125
106496	0.199111
106624	0.199085
106752	0.208139
106880	0.362086
107008	0.424288
107136	0.249606
107264	0.235234
107392	0.220468
107520	0.217390
107648	0.213622
107776	0.217624
107904	0.226846
108032	0.227577
108160	0.210552
108288	0.208915
108416	0.206306
108544	0.205140
108672	0.204888
108800	0.203997
108928	0.203290
109056	0.202631
109184	0.201629
109312	0.201863
109440	0.201132
109568	0.200265
109696	0.200872
109824	0.200393
109952	0.199600
110080	0.200122
110208	0.200072
110336	0.201778
110464	0.206077
110592	0.206765
110720	0.202776
110848	0.198031
110976	0.196838
111104	0.196691
111232	0.196158
111360	0.195380
111488	0.195731
111616	0.195211
111744	0.195021
111872	0.195259
112000	0.198134
112128	0.199213
112256	0.210272
112384	0.218150
112512	0.269582
112640	1.653044
112768	0.299310
112896	0.405013
113024	0.276875
113152	0.221110
113280	0.280497
113408	0.201936
113536	0.202019
113664	0.200853
113792	0.198951
113920	0.199867
114048	0.199069
114176	0.198467
114304	0.198308
114432	0.197901
114560	0.197303
114688	0.196935
114816	0.196169
114944	0.195210
115072	0.195296
115200	0.194213
115328	0.193201
115456	0.192981
115584	0.192782
115712	0.192961
115840	0.192200
115968	0.191791
116096	0.192157
116224	0.193346
116352	0.200133
116480	0.201011
116608	0.195050
116736	0.194692
116864	0.194348
