########

	Model: URNN with 6155 parameters on

#Task:
# Copying Task with T=100

########

152832	0.065128
152960	0.067506
153088	0.095282
153216	0.091601
153344	0.199808
153472	0.344493
153600	0.298167
153728	0.073491
153856	0.065675
153984	0.062621
154112	0.068806
154240	0.064757
154368	0.052945
154496	0.064910
154624	0.068530
154752	0.063412
154880	0.062465
155008	0.068743
155136	0.057075
155264	0.062771
155392	0.065684
155520	0.054652
155648	0.053682
155776	0.061874
155904	0.058858
156032	0.063879
156160	0.050147
156288	0.053917
156416	0.059266
156544	0.062012
156672	0.067124
156800	0.053641
156928	0.056163
157056	0.060717
157184	0.054779
157312	0.065067
157440	0.068984
157568	0.075158
157696	0.135108
157824	0.541608
157952	0.222197
158080	0.065335
158208	0.056708
158336	0.062811
158464	0.052660
158592	0.053873
158720	0.067076
158848	0.060871
158976	0.060533
159104	0.051663
159232	0.059081
159360	0.055729
159488	0.046102
159616	0.054789
159744	0.056499
159872	0.053129
160000	0.054742
160128	0.050886
160256	0.053380
160384	0.052064
160512	0.062055
160640	0.059541
160768	0.045198
160896	0.054620
161024	0.064312
161152	0.106687
161280	0.259123
161408	0.318894
161536	0.078028
161664	0.049410
161792	0.043545
161920	0.049081
162048	0.056795
162176	0.049888
162304	0.051462
162432	0.050495
162560	0.043156
162688	0.045656
162816	0.043372
162944	0.053494
163072	0.042142
163200	0.041084
163328	0.042161
163456	0.042603
163584	0.045283
163712	0.044285
163840	0.042376
163968	0.037155
164096	0.053183
164224	0.047318
164352	0.050677
164480	0.052029
164608	0.062711
164736	0.105441
164864	0.120003
164992	0.195660
165120	0.156240
165248	0.134388
165376	0.043657
165504	0.043483
165632	0.048814
165760	0.044775
165888	0.046902
166016	0.049672
166144	0.044922
166272	0.041520
166400	0.040808
166528	0.039945
166656	0.043679
166784	0.043667
166912	0.039348
167040	0.042244
167168	0.034244
167296	0.039064
167424	0.043138
167552	0.034319
167680	0.039870
167808	0.037349
167936	0.046079
168064	0.041672
168192	0.042104
168320	0.048159
168448	0.036781
168576	0.038075
168704	0.035298
168832	0.081276
168960	0.288955
169088	0.295848
169216	0.154026
169344	0.037740
169472	0.040283
169600	0.035737
169728	0.036436
169856	0.037688
169984	0.034243
170112	0.031109
170240	0.033688
170368	0.032845
170496	0.037768
170624	0.037877
170752	0.034216
170880	0.032186
171008	0.041445
171136	0.032804
171264	0.032505
171392	0.029094
171520	0.041583
171648	0.034415
171776	0.028966
171904	0.038971
172032	0.033679
172160	0.034835
172288	0.027501
172416	0.035197
172544	0.033232
172672	0.034067
172800	0.035928
172928	0.035989
173056	0.033452
173184	0.036731
173312	0.031998
173440	0.033255
173568	0.045166
173696	0.118398
173824	0.268291
173952	0.122599
174080	0.040307
174208	0.028595
174336	0.027928
174464	0.027300
174592	0.031621
174720	0.031806
174848	0.030258
174976	0.029887
175104	0.027376
175232	0.028187
175360	0.032008
175488	0.031692
175616	0.027364
175744	0.023119
175872	0.030393
176000	0.026956
176128	0.030159
176256	0.030980
176384	0.021581
176512	0.027440
176640	0.030400
176768	0.027800
176896	0.030201
177024	0.027419
177152	0.026366
177280	0.026417
177408	0.029711
177536	0.035855
177664	0.051483
177792	0.199822
177920	0.239906
178048	0.056814
178176	0.027770
178304	0.028437
178432	0.023509
178560	0.028376
178688	0.022182
178816	0.025975
178944	0.021925
179072	0.027950
179200	0.025643
179328	0.028239
179456	0.021668
179584	0.021684
179712	0.026951
179840	0.026536
179968	0.023162
180096	0.021252
180224	0.027186
180352	0.022653
180480	0.030310
180608	0.030442
180736	0.015849
180864	0.021863
180992	0.018398
181120	0.025981
181248	0.020242
181376	0.023481
181504	0.021610
181632	0.023187
181760	0.022672
181888	0.024057
182016	0.019641
182144	0.022657
182272	0.024443
182400	0.040459
182528	0.210396
182656	0.256956
182784	0.030228
182912	0.023977
183040	0.023182
183168	0.024587
183296	0.020979
183424	0.018076
183552	0.017714
183680	0.016887
183808	0.020572
183936	0.019931
184064	0.018740
184192	0.019506
184320	0.023594
184448	0.019469
184576	0.014960
184704	0.023008
184832	0.019724
184960	0.017639
185088	0.018874
185216	0.023592
185344	0.018067
185472	0.020247
185600	0.020514
185728	0.020790
185856	0.016055
185984	0.023499
186112	0.021650
