########

	Model: LSTM with 8570 parameters on

#Task:
# Copying Task with T=100

########

160896	0.204959
161024	0.203986
161152	0.203337
161280	0.202839
161408	0.202232
161536	0.201793
161664	0.201633
161792	0.202940
161920	0.208643
162048	0.246638
162176	0.372510
162304	0.391291
162432	0.216461
162560	0.207871
162688	0.205772
162816	0.204601
162944	0.203908
163072	0.203111
163200	0.202362
163328	0.201928
163456	0.201715
163584	0.201282
163712	0.201237
163840	0.203145
163968	0.213780
164096	0.269432
164224	0.379365
164352	0.362336
164480	0.217523
164608	0.207956
164736	0.205662
164864	0.204352
164992	0.203529
165120	0.202699
165248	0.202441
165376	0.201772
165504	0.201354
165632	0.200825
165760	0.201549
165888	0.203875
166016	0.219614
166144	0.293137
166272	0.357843
166400	0.341043
166528	0.217338
166656	0.207559
166784	0.205329
166912	0.204473
167040	0.203302
167168	0.202474
167296	0.201891
167424	0.201672
167552	0.200990
167680	0.201195
167808	0.202328
167936	0.209894
168064	0.248688
168192	0.361742
168320	0.269920
168448	0.267222
168576	0.219887
168704	0.210351
168832	0.205885
168960	0.204315
169088	0.203671
169216	0.203333
169344	0.203766
169472	0.206506
169600	0.216008
169728	0.250570
169856	0.297873
169984	0.334579
170112	0.224991
170240	0.210450
170368	0.205794
170496	0.204081
170624	0.203127
170752	0.202427
170880	0.201798
171008	0.202088
171136	0.203349
171264	0.210157
171392	0.237884
171520	0.322315
171648	0.280478
171776	0.277060
171904	0.220534
172032	0.209281
172160	0.205373
172288	0.203918
172416	0.202996
172544	0.202418
172672	0.202349
172800	0.203367
172928	0.209121
173056	0.231114
173184	0.289624
173312	0.361510
173440	0.226948
173568	0.211388
173696	0.205665
173824	0.203998
173952	0.202715
174080	0.202151
174208	0.201689
174336	0.201581
174464	0.202512
174592	0.207543
174720	0.228352
174848	0.300606
174976	0.299300
175104	0.299892
175232	0.220919
175360	0.207938
175488	0.204957
175616	0.203321
175744	0.202489
175872	0.201674
176000	0.201101
176128	0.200757
176256	0.200500
176384	0.201563
176512	0.208498
176640	0.245289
176768	0.342611
176896	0.372681
177024	0.217308
177152	0.206663
177280	0.204247
177408	0.203160
177536	0.202414
177664	0.201553
177792	0.201065
177920	0.200537
178048	0.199912
178176	0.199458
178304	0.198867
178432	0.198491
178560	0.198693
178688	0.200320
178816	0.217005
178944	0.320329
179072	0.386306
179200	0.324807
179328	0.215616
179456	0.205881
179584	0.204056
179712	0.202819
179840	0.201963
179968	0.201227
180096	0.200778
180224	0.200131
180352	0.199483
180480	0.199238
180608	0.199069
180736	0.198873
180864	0.200087
180992	0.207325
181120	0.259722
181248	0.399552
181376	0.252591
181504	0.241546
181632	0.214771
181760	0.207323
181888	0.203949
182016	0.202687
182144	0.201921
182272	0.201987
182400	0.203433
182528	0.208380
182656	0.222584
182784	0.263802
182912	0.285155
183040	0.298268
183168	0.224242
183296	0.208083
183424	0.203732
183552	0.202208
183680	0.201306
183808	0.200261
183936	0.199683
184064	0.199701
184192	0.199764
184320	0.201808
184448	0.213092
184576	0.262442
184704	0.342467
184832	0.338681
184960	0.218938
185088	0.206125
185216	0.203818
185344	0.202150
185472	0.201463
185600	0.200813
185728	0.200246
185856	0.199678
185984	0.199323
186112	0.198754
186240	0.198618
186368	0.198784
186496	0.200219
186624	0.209697
186752	0.271953
186880	0.416977
187008	0.235151
187136	0.220347
187264	0.207370
187392	0.203504
187520	0.201689
187648	0.201099
