########

	Model: Fully Associative URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

108800.0	2.32062e-05
108928.0	2.19981e-05
109056.0	2.3574e-05
109184.0	2.31544e-05
109312.0	2.2721e-05
109440.0	2.3158e-05
109568.0	2.43693e-05
109696.0	1.62023e-05
109824.0	1.88354e-05
109952.0	1.98314e-05
110080.0	1.91212e-05
110208.0	1.63868e-05
110336.0	3.02136e-05
110464.0	1.82495e-05
110592.0	1.97205e-05
110720.0	1.73235e-05
110848.0	1.83297e-05
110976.0	1.53229e-05
111104.0	1.80045e-05
111232.0	1.87534e-05
111360.0	1.73355e-05
111488.0	2.25859e-05
111616.0	1.50511e-05
111744.0	1.59878e-05
111872.0	2.00209e-05
112000.0	1.99456e-05
112128.0	1.80261e-05
112256.0	1.85563e-05
112384.0	1.73783e-05
112512.0	1.47988e-05
112640.0	1.62776e-05
112768.0	1.85862e-05
112896.0	1.83191e-05
113024.0	1.406e-05
113152.0	1.50147e-05
113280.0	1.68237e-05
113408.0	1.60071e-05
113536.0	1.68254e-05
113664.0	1.48194e-05
113792.0	1.34904e-05
113920.0	1.23771e-05
114048.0	1.34208e-05
114176.0	1.4548e-05
114304.0	1.65329e-05
114432.0	1.3251e-05
114560.0	1.42554e-05
114688.0	1.46705e-05
114816.0	1.49402e-05
114944.0	1.34734e-05
115072.0	2.26999e-05
115200.0	1.49095e-05
115328.0	1.46668e-05
115456.0	1.21833e-05
115584.0	1.57903e-05
115712.0	1.51314e-05
115840.0	1.10603e-05
115968.0	1.12681e-05
116096.0	1.70424e-05
116224.0	1.66901e-05
116352.0	1.17344e-05
116480.0	1.15817e-05
116608.0	1.04278e-05
116736.0	1.11269e-05
116864.0	1.38713e-05
116992.0	1.42768e-05
117120.0	1.38663e-05
117248.0	1.54103e-05
117376.0	4.48012e-05
117504.0	0.00197556
117632.0	0.00128496
117760.0	1.02768e-05
117888.0	1.43083e-05
118016.0	9.18311e-06
118144.0	9.80271e-06
118272.0	9.85202e-06
118400.0	1.00444e-05
118528.0	1.00549e-05
118656.0	1.0298e-05
118784.0	9.56696e-06
118912.0	9.00656e-06
119040.0	1.32772e-05
119168.0	9.88415e-06
119296.0	1.11622e-05
119424.0	1.14535e-05
119552.0	1.11886e-05
119680.0	1.04309e-05
119808.0	1.41477e-05
119936.0	8.08988e-06
120064.0	1.01545e-05
120192.0	9.81415e-06
120320.0	1.01828e-05
120448.0	9.45225e-06
120576.0	9.69353e-06
120704.0	9.64789e-06
120832.0	9.52858e-06
120960.0	9.13162e-06
121088.0	1.45084e-05
121216.0	1.28913e-05
121344.0	1.16863e-05
121472.0	1.03197e-05
121600.0	8.0665e-06
121728.0	9.96242e-06
121856.0	9.65825e-06
121984.0	1.20513e-05
122112.0	1.17617e-05
122240.0	1.15936e-05
122368.0	1.0198e-05
122496.0	9.30234e-06
122624.0	1.22367e-05
122752.0	7.6069e-06
122880.0	8.10219e-06
123008.0	7.26733e-06
123136.0	1.38109e-05
123264.0	7.90355e-06
123392.0	9.00788e-06
123520.0	7.82633e-06
123648.0	8.87777e-06
123776.0	7.49154e-06
123904.0	9.70693e-06
124032.0	7.36032e-06
124160.0	8.18733e-06
124288.0	6.15985e-06
124416.0	7.22831e-06
124544.0	7.3328e-06
124672.0	9.36658e-06
124800.0	7.10421e-06
124928.0	7.80937e-06
125056.0	7.24165e-06
125184.0	8.28818e-06
125312.0	8.13283e-06
125440.0	7.85249e-06
125568.0	9.28954e-06
125696.0	6.34401e-06
125824.0	7.77429e-06
125952.0	6.57348e-06
126080.0	8.51148e-06
126208.0	7.53166e-06
126336.0	6.22918e-06
126464.0	5.99751e-06
126592.0	5.40917e-06
126720.0	7.36922e-06
126848.0	1.06538e-05
126976.0	1.51203e-05
127104.0	1.02801e-05
127232.0	7.02301e-06
127360.0	6.82948e-06
127488.0	5.47036e-06
127616.0	6.38061e-06
127744.0	5.5447e-06
127872.0	6.15904e-06
128000.0	1.03488e-05
128128.0	1.23248e-05
128256.0	3.52559e-05
128384.0	0.000787601
128512.0	0.000796429
128640.0	3.3914e-05
128768.0	2.53931e-05
128896.0	1.36345e-05
129024.0	1.61285e-05
129152.0	6.71591e-06
129280.0	7.87213e-06
129408.0	8.72748e-06
129536.0	7.81419e-06
129664.0	7.7347e-06
129792.0	6.97157e-06
129920.0	7.69642e-06
130048.0	9.98083e-06
130176.0	6.60754e-06
130304.0	7.45105e-06
130432.0	5.60029e-06
130560.0	6.40413e-06
130688.0	5.0826e-06
130816.0	5.87675e-06
130944.0	7.40263e-06
131072.0	5.88073e-06
131200.0	6.07247e-06
131328.0	5.1618e-06
131456.0	6.89e-06
131584.0	6.25926e-06
131712.0	7.59956e-06
131840.0	1.06908e-05
131968.0	7.21482e-06
132096.0	5.90653e-06
132224.0	4.47164e-06
132352.0	7.31901e-06
132480.0	4.44366e-06
132608.0	5.2543e-06
132736.0	6.87095e-06
132864.0	4.868e-06
132992.0	5.27234e-06
133120.0	4.72564e-06
133248.0	7.59841e-06
133376.0	4.6714e-06
133504.0	6.02026e-06
133632.0	4.55122e-06
133760.0	4.70008e-06
133888.0	4.55791e-06
134016.0	4.96593e-06
134144.0	4.71162e-06
134272.0	6.13862e-06
134400.0	4.68163e-06
134528.0	7.7549e-06
134656.0	4.9388e-06
134784.0	5.46716e-06
134912.0	4.13022e-06
135040.0	4.86973e-06
135168.0	4.5525e-06
135296.0	4.57211e-06
135424.0	6.33015e-06
135552.0	5.7844e-06
135680.0	4.59456e-06
135808.0	5.67591e-06
135936.0	4.49458e-06
136064.0	4.21326e-06
136192.0	3.59481e-06
136320.0	4.03986e-06
136448.0	3.84258e-06
136576.0	3.61256e-06
136704.0	5.46024e-06
136832.0	5.67571e-06
136960.0	3.94268e-06
137088.0	4.76973e-06
137216.0	3.58241e-06
137344.0	7.97593e-06
137472.0	1.13423e-05
137600.0	4.40092e-05
137728.0	0.00156055
137856.0	0.00178342
137984.0	6.54349e-05
138112.0	2.74505e-05
138240.0	2.27882e-05
138368.0	2.56483e-05
138496.0	1.534e-05
138624.0	1.24154e-05
138752.0	1.98199e-05
138880.0	1.60499e-05
139008.0	1.22178e-05
139136.0	1.59501e-05
139264.0	8.53193e-06
139392.0	1.46747e-05
139520.0	7.36041e-06
139648.0	6.7796e-06
139776.0	8.83137e-06
139904.0	7.43233e-06
140032.0	7.54565e-06
140160.0	5.32251e-06
140288.0	7.73576e-06
140416.0	8.71235e-06
140544.0	6.87355e-06
140672.0	5.51892e-06
140800.0	4.54067e-06
140928.0	6.67096e-06
141056.0	5.30132e-06
141184.0	4.96007e-06
141312.0	5.81076e-06
141440.0	3.82207e-06
141568.0	5.22398e-06
141696.0	3.79967e-06
141824.0	3.85644e-06
141952.0	4.69471e-06
142080.0	4.28179e-06
142208.0	3.66296e-06
142336.0	3.99235e-06
142464.0	4.01329e-06
142592.0	4.52077e-06
142720.0	4.5765e-06
142848.0	6.71616e-06
142976.0	4.21443e-06
143104.0	4.90356e-06
143232.0	4.78479e-06
143360.0	4.79312e-06
143488.0	4.95138e-06
143616.0	4.26901e-06
143744.0	4.13081e-06
143872.0	4.08656e-06
144000.0	3.21691e-06
144128.0	4.51876e-06
144256.0	4.00778e-06
