########

	Model: Bengio URNN with ~6500 parameters on

#Task:
 # Copying Task with T=1000

########

129792.0	0.0204207
129920.0	0.0203707
130048.0	0.0204197
130176.0	0.0204257
130304.0	0.0204133
130432.0	0.0204128
130560.0	0.0204167
130688.0	0.0204119
130816.0	0.0204169
130944.0	0.0204027
131072.0	0.0204159
131200.0	0.0203811
131328.0	0.0204233
131456.0	0.0203834
131584.0	0.0204058
131712.0	0.0203921
131840.0	0.0204328
131968.0	0.0204133
132096.0	0.0204011
132224.0	0.0203913
132352.0	0.0204079
132480.0	0.0204055
132608.0	0.0204072
132736.0	0.0204235
132864.0	0.0204148
132992.0	0.0204342
133120.0	0.0203899
133248.0	0.0204174
133376.0	0.0204137
133504.0	0.0204149
133632.0	0.0204099
133760.0	0.0203941
133888.0	0.0204058
134016.0	0.0204037
134144.0	0.02041
134272.0	0.0204064
134400.0	0.0204164
134528.0	0.0204081
134656.0	0.0204103
134784.0	0.0204122
134912.0	0.0203879
135040.0	0.0204144
135168.0	0.0203964
135296.0	0.0203768
135424.0	0.0204495
135552.0	0.0203973
135680.0	0.0203943
135808.0	0.0203995
135936.0	0.0203973
136064.0	0.0204053
136192.0	0.0203971
136320.0	0.0203935
136448.0	0.0204369
136576.0	0.0203983
136704.0	0.0203862
136832.0	0.0203903
136960.0	0.020427
137088.0	0.0203989
137216.0	0.0204078
137344.0	0.0203961
137472.0	0.0204284
137600.0	0.020413
137728.0	0.0204301
137856.0	0.02041
137984.0	0.0203985
138112.0	0.0204096
138240.0	0.0204004
138368.0	0.0203834
138496.0	0.0204104
138624.0	0.0203985
138752.0	0.0204045
138880.0	0.020416
139008.0	0.0204096
139136.0	0.020435
139264.0	0.0203999
139392.0	0.0204042
139520.0	0.020391
139648.0	0.020394
139776.0	0.0203944
139904.0	0.0204212
140032.0	0.0204138
140160.0	0.0204169
140288.0	0.0203918
140416.0	0.0204228
140544.0	0.0204334
140672.0	0.0203946
140800.0	0.0204061
140928.0	0.0203943
141056.0	0.0203879
141184.0	0.0204222
141312.0	0.0204167
141440.0	0.0204023
141568.0	0.0204103
141696.0	0.0204119
141824.0	0.0203771
141952.0	0.0204181
142080.0	0.0204077
142208.0	0.020412
142336.0	0.0204117
142464.0	0.020395
142592.0	0.0204214
142720.0	0.0203784
142848.0	0.0204061
142976.0	0.0204121
143104.0	0.020422
143232.0	0.0204273
143360.0	0.0204207
143488.0	0.0204013
143616.0	0.02041
143744.0	0.0203636
143872.0	0.0204384
144000.0	0.0203809
144128.0	0.0204275
144256.0	0.020419
144384.0	0.0204007
144512.0	0.0204177
144640.0	0.0203922
144768.0	0.0203992
144896.0	0.0203974
145024.0	0.020399
145152.0	0.0204015
145280.0	0.0203944
145408.0	0.0204102
145536.0	0.0204035
145664.0	0.0203886
145792.0	0.020398
145920.0	0.0203969
146048.0	0.0203799
146176.0	0.0204234
146304.0	0.0204208
146432.0	0.0203812
146560.0	0.0204481
