########

	Model: LSTM with 7323 parameters on

#Task:
# Copying Task with T=200

########

143104	0.031610
143232	0.031570
143360	0.031600
143488	0.031583
143616	0.031574
143744	0.031631
143872	0.031590
144000	0.031516
144128	0.031574
144256	0.031578
144384	0.031574
144512	0.031543
144640	0.031598
144768	0.031560
144896	0.031597
145024	0.031564
145152	0.031558
145280	0.031491
145408	0.031613
145536	0.031536
145664	0.031559
145792	0.031533
145920	0.031562
146048	0.031573
146176	0.031575
146304	0.031566
146432	0.031500
146560	0.031572
146688	0.031545
146816	0.031580
146944	0.031529
147072	0.031498
147200	0.031544
147328	0.031570
147456	0.031550
147584	0.031467
147712	0.031566
147840	0.031479
147968	0.031535
148096	0.031541
148224	0.031554
148352	0.031561
148480	0.031556
148608	0.031562
148736	0.031501
148864	0.031537
148992	0.031550
149120	0.031518
149248	0.031486
149376	0.031527
149504	0.031560
149632	0.031536
149760	0.031543
149888	0.031539
150016	0.031353
150144	0.031494
150272	0.031532
150400	0.031574
150528	0.031535
150656	0.031527
150784	0.031522
150912	0.031534
151040	0.031469
151168	0.031516
151296	0.031504
151424	0.031522
151552	0.031526
151680	0.031494
151808	0.031531
151936	0.031482
152064	0.031534
152192	0.031540
152320	0.031531
152448	0.031529
152576	0.031545
152704	0.031533
152832	0.031541
152960	0.031536
153088	0.031514
153216	0.031490
153344	0.031571
153472	0.031569
153600	0.031395
153728	0.031572
153856	0.031516
153984	0.031524
154112	0.031514
154240	0.031513
154368	0.031537
154496	0.031524
154624	0.031537
154752	0.031472
154880	0.031533
155008	0.031536
155136	0.031519
155264	0.031442
155392	0.031548
155520	0.031531
155648	0.031535
155776	0.031482
155904	0.031520
156032	0.031518
156160	0.031592
156288	0.031590
156416	0.031558
156544	0.031411
156672	0.031532
156800	0.031465
156928	0.031529
157056	0.031456
157184	0.031539
157312	0.031586
157440	0.031460
157568	0.031457
157696	0.031566
157824	0.031522
157952	0.031544
158080	0.031534
158208	0.031488
158336	0.031524
158464	0.031536
158592	0.031554
158720	0.031588
158848	0.031501
158976	0.031491
159104	0.031545
159232	0.031491
159360	0.031499
159488	0.031493
159616	0.031426
159744	0.031524
159872	0.031503
160000	0.031516
160128	0.031443
160256	0.031552
160384	0.031437
160512	0.031564
160640	0.031542
160768	0.031498
160896	0.031495
161024	0.031550
161152	0.031484
161280	0.031502
161408	0.031529
161536	0.031503
161664	0.031533
161792	0.031478
161920	0.031546
162048	0.031400
162176	0.031544
162304	0.031518
162432	0.031506
162560	0.031574
162688	0.031627
162816	0.031586
162944	0.031496
163072	0.031538
163200	0.031506
163328	0.031450
163456	0.031482
163584	0.031465
163712	0.031470
163840	0.031491
163968	0.031441
164096	0.031491
164224	0.031573
164352	0.031547
164480	0.031476
164608	0.031531
164736	0.031515
164864	0.031425
164992	0.031447
165120	0.031420
165248	0.031521
165376	0.031532
165504	0.031520
165632	0.031525
165760	0.031517
165888	0.031531
166016	0.031486
166144	0.031516
166272	0.031540
166400	0.031543
166528	0.031540
166656	0.031482
166784	0.031446
166912	0.031428
167040	0.031551
167168	0.031522
167296	0.031519
167424	0.031459
167552	0.031530
167680	0.031491
167808	0.031516
167936	0.031431
168064	0.031530
168192	0.031497
168320	0.031527
168448	0.031513
168576	0.031450
168704	0.031527
168832	0.031530
168960	0.031527
169088	0.031531
169216	0.031524
169344	0.031479
169472	0.031464
169600	0.031492
169728	0.031528
169856	0.031500
169984	0.031518
170112	0.031495
170240	0.031487
170368	0.031456
170496	0.031484
170624	0.031491
170752	0.031523
170880	0.031409
171008	0.031475
171136	0.031528
171264	0.031513
171392	0.031480
171520	0.031516
171648	0.031559
171776	0.031477
171904	0.031527
172032	0.031437
172160	0.031504
172288	0.031519
172416	0.031334
172544	0.856406
172672	0.046180
172800	0.042736
172928	0.039765
173056	0.037372
173184	0.035481
173312	0.034609
173440	0.033710
173568	0.033339
173696	0.033284
173824	0.032639
173952	0.032558
174080	0.032684
174208	0.032222
174336	0.032395
174464	0.032318
174592	0.032097
174720	0.031985
174848	0.032043
174976	0.032011
175104	0.031997
175232	0.032086
175360	0.031788
175488	0.031950
175616	0.031838
175744	0.031752
175872	0.031907
176000	0.031889
176128	0.031806
176256	0.031687
176384	0.031727
176512	0.031791
176640	0.031709
176768	0.031740
176896	0.031681
177024	0.031683
177152	0.031604
177280	0.031793
177408	0.031749
177536	0.031717
177664	0.031644
177792	0.031632
177920	0.031666
178048	0.031625
178176	0.031615
178304	0.031592
178432	0.031578
178560	0.031616
178688	0.031613
178816	0.031627
178944	0.031543
179072	0.031607
179200	0.031639
179328	0.031596
179456	0.031549
179584	0.031596
179712	0.031566
179840	0.031592
179968	0.031572
180096	0.031550
180224	0.031559
180352	0.031567
180480	0.031545
180608	0.031550
180736	0.031569
180864	0.031534
180992	0.031508
181120	0.031527
181248	0.031569
181376	0.031580
181504	0.031486
181632	0.031556
181760	0.031486
181888	0.031546
182016	0.031525
182144	0.031540
182272	0.031546
182400	0.031514
182528	0.031560
182656	0.031552
182784	0.031483
182912	0.031516
183040	0.031561
183168	0.031535
183296	0.031536
183424	0.031509
183552	0.031521
183680	0.031506
183808	0.031516
183936	0.031518
184064	0.031535
